# Longevidade	Quantidade
0.504781	0.40875
0.505214	0.41
0.506585	0.41125
0.509472	0.4125
0.509544	0.41375
0.510049	0.415
0.512575	0.41625
0.514523	0.4175
0.522245	0.41875
0.524554	0.42
0.525925	0.42125
0.526069	0.4225
0.527007	0.42375
0.527152	0.425
0.52744	0.426875
0.533358	0.42875
0.540141	0.43
0.541151	0.43125
0.542667	0.4325
0.544543	0.43375
0.545553	0.435
0.546852	0.43625
0.552337	0.4375
0.553708	0.43875
0.554574	0.44
0.557316	0.44125
0.559914	0.4425
0.560058	0.44375
0.562223	0.445
0.562656	0.44625
0.56547	0.4475
0.568429	0.44875
0.57413	0.45
0.577377	0.45125
0.578171	0.4525
0.579326	0.45375
0.579542	0.455
0.580336	0.45625
0.580841	0.4575
0.584521	0.45875
0.585315	0.46
0.585748	0.46125
0.588274	0.4625
0.588851	0.46375
0.589645	0.465
0.591738	0.46625
0.592315	0.4675
0.592604	0.46875
0.599459	0.47
0.602779	0.47125
0.60682	0.4725
0.611294	0.47375
0.612088	0.475
0.613026	0.47625
0.617428	0.478125
0.6175	0.48
0.618799	0.48125
0.619304	0.4825
0.621541	0.48375
0.62284	0.485
0.623778	0.48625
0.625871	0.4875
0.62616	0.48875
0.628252	0.49
0.628685	0.49125
0.629046	0.4925
0.630778	0.49375
0.631067	0.495
0.637417	0.49625
0.637561	0.4975
0.643912	0.49875
0.649324	0.5
0.663035	0.50125
0.663396	0.5025
0.665344	0.50375
0.666787	0.505
0.670468	0.50625
0.671334	0.5075
0.675086	0.50875
0.677107	0.51
0.677684	0.51125
0.678839	0.5125
0.681581	0.51375
0.683169	0.515
0.683313	0.51625
0.686488	0.5175
0.686849	0.51875
0.687715	0.520625
0.692261	0.5225
0.695292	0.52375
0.696663	0.525
0.702941	0.52625
0.704457	0.5275
0.705034	0.52875
0.708065	0.53
0.708426	0.53125
0.71023	0.5325
0.715137	0.53375
0.718889	0.535
0.721054	0.53625
0.721631	0.5375
0.722137	0.53875
0.724229	0.54
0.724518	0.54125
0.725745	0.5425
0.726755	0.54375
0.727188	0.545
0.729064	0.54625
0.730724	0.5475
0.733178	0.54875
0.73527	0.55
0.735775	0.55125
0.735848	0.5525
0.741188	0.55375
0.742775	0.555
0.744507	0.55625
0.748404	0.5575
0.749342	0.55875
0.762043	0.56
0.764569	0.56125
0.769836	0.5625
0.771713	0.56375
0.773805	0.565
0.774166	0.56625
0.775393	0.5675
0.775682	0.56875
0.777053	0.57
0.781888	0.57125
0.782465	0.5725
0.783187	0.57375
0.783908	0.575
0.784269	0.57625
0.786723	0.5775
0.787372	0.57875
0.788743	0.58
0.788888	0.58125
0.79163	0.5825
0.792207	0.58375
0.794155	0.585
0.794805	0.58625
0.796825	0.5875
0.799351	0.58875
0.804547	0.59
0.809238	0.59125
0.810031	0.5925
0.811908	0.59375
0.812341	0.595
0.814217	0.59625
0.819268	0.5975
0.819485	0.59875
0.820206	0.6
0.82468	0.60125
0.825186	0.6025
0.826412	0.60375
0.827567	0.605
0.829299	0.60625
0.839041	0.6075
0.83933	0.60875
0.850876	0.61
0.854051	0.61125
0.861123	0.6125
0.862133	0.61375
0.871154	0.615
0.873246	0.61625
0.877865	0.6175
0.878442	0.61875
0.880318	0.62
0.883277	0.62125
0.884648	0.6225
0.886163	0.62375
0.886741	0.625
0.889194	0.62625
0.891792	0.6275
0.89338	0.62875
0.895833	0.63
0.899658	0.63125
0.920369	0.6325
0.928018	0.63375
0.92975	0.635
0.932709	0.63625
0.934152	0.6375
0.934729	0.63875
0.934946	0.64
0.936894	0.64125
0.944327	0.6425
0.94743	0.64375
0.953997	0.645
0.954285	0.64625
0.961502	0.6475
0.965759	0.64875
0.976512	0.65
0.978316	0.65125
0.979543	0.6525
0.980264	0.65375
0.98214	0.655
0.982357	0.65625
0.982934	0.6575
0.985532	0.65875
0.985965	0.66
0.98979	0.66125
0.992965	0.6625
1.0066	0.66375
1.01801	0.665
1.03013	0.66625
1.03338	0.6675
1.03496	0.66875
1.04088	0.67
1.04586	0.67125
1.04716	0.6725
1.0499	0.67375
1.05409	0.675
1.06397	0.67625
1.067	0.6775
1.06859	0.67875
1.07206	0.68
1.07213	0.68125
1.07588	0.6825
1.0766	0.68375
1.0779	0.685
1.0836	0.68625
1.08454	0.6875
1.08937	0.68875
1.09147	0.69
1.09197	0.69125
1.09435	0.6925
1.09623	0.69375
1.10309	0.695
1.1033	0.69625
1.10453	0.6975
1.10785	0.69875
1.11117	0.7
1.11701	0.70125
1.12127	0.7025
1.12344	0.70375
1.13051	0.705
1.13982	0.70625
1.14335	0.7075
1.14783	0.70875
1.151	0.71
1.15194	0.71125
1.15959	0.7125
1.16998	0.71375
1.17648	0.715
1.18889	0.71625
1.19084	0.7175
1.19971	0.71875
1.20087	0.72
1.20953	0.72125
1.22879	0.7225
1.24041	0.72375
1.25181	0.725
1.25405	0.72625
1.25636	0.7275
1.26242	0.72875
1.26473	0.73
1.26654	0.73125
1.26697	0.7325
1.27866	0.73375
1.28003	0.735
1.28306	0.73625
1.29194	0.7375
1.29201	0.73875
1.29266	0.74
1.29338	0.74125
1.29908	0.7425
1.30233	0.74375
1.3208	0.745
1.3405	0.74625
1.34151	0.7475
1.34209	0.74875
1.35573	0.75
1.35984	0.75125
1.36006	0.7525
1.36663	0.75375
1.36995	0.755
1.37565	0.75625
1.37796	0.7575
1.39268	0.75875
1.39845	0.76
1.40018	0.76125
1.4061	0.7625
1.40819	0.76375
1.40913	0.765
1.42363	0.76625
1.45394	0.7675
1.4613	0.76875
1.47285	0.77
1.47299	0.77125
1.47631	0.7725
1.50576	0.77375
1.50626	0.775
1.50835	0.77625
1.52344	0.7775
1.52358	0.77875
1.52466	0.78
1.52596	0.78125
1.53246	0.7825
1.53513	0.78375
1.54155	0.785
1.54213	0.78625
1.54328	0.7875
1.54566	0.78875
1.55172	0.79
1.55519	0.79125
1.56219	0.7925
1.56479	0.79375
1.57655	0.795
1.58037	0.79625
1.58752	0.7975
1.58867	0.79875
1.58874	0.8
1.59163	0.80125
1.59596	0.8025
1.59625	0.80375
1.59885	0.805
1.59978	0.80625
1.60202	0.8075
1.60772	0.80875
1.61191	0.81
1.63767	0.81125
1.6402	0.8125
1.64279	0.81375
1.65044	0.815
1.66913	0.81625
1.67534	0.8175
1.68364	0.81875
1.684	0.82
1.68616	0.82125
1.69201	0.8225
1.69598	0.82375
1.69656	0.825
1.69721	0.82625
1.72939	0.8275
1.74389	0.82875
1.74519	0.83
1.76266	0.83125
1.76424	0.8325
1.77247	0.83375
1.77391	0.835
1.77449	0.83625
1.79549	0.8375
1.79766	0.83875
1.80574	0.84
1.80862	0.84125
1.81909	0.8425
1.82371	0.84375
1.824	0.845
1.85394	0.84625
1.85402	0.8475
1.8551	0.84875
1.888	0.85
1.89255	0.85125
1.89486	0.8525
1.90193	0.85375
1.90496	0.855
1.90503	0.85625
1.91218	0.8575
1.9378	0.85875
1.93809	0.86
1.98485	0.86125
1.99127	0.8625
2.01631	0.86375
2.02425	0.865
2.04792	0.86625
2.06307	0.8675
2.07014	0.86875
2.08847	0.87
2.09013	0.87125
2.09396	0.8725
2.09872	0.87375
2.11149	0.875
2.11222	0.87625
2.11857	0.8775
2.13184	0.87875
2.17016	0.88
2.17594	0.88125
2.17695	0.8825
2.18322	0.88375
2.18481	0.885
2.22104	0.88625
2.23814	0.8875
2.25964	0.88875
2.27278	0.89
2.2914	0.89125
2.30439	0.8925
2.30547	0.89375
2.31795	0.895
2.34682	0.89625
2.35346	0.8975
2.36031	0.89875
2.36609	0.9
2.3764	0.90125
2.39618	0.9025
2.40924	0.90375
2.42815	0.905
2.42988	0.90625
2.45932	0.9075
2.45946	0.90875
2.46906	0.91
2.48068	0.91125
2.53091	0.9125
2.58048	0.91375
2.59888	0.915
2.61584	0.91625
2.62811	0.9175
2.6717	0.91875
2.68902	0.92
2.70843	0.92125
2.71442	0.9225
2.73296	0.92375
2.751	0.925
2.75425	0.92625
2.77316	0.9275
2.7772	0.92875
2.78932	0.93
2.82937	0.93125
2.84236	0.9325
2.85001	0.93375
2.85773	0.935
2.86625	0.93625
2.89482	0.9375
2.92347	0.93875
3.00798	0.94
3.01462	0.94125
3.01671	0.9425
3.01981	0.94375
3.02299	0.945
3.0481	0.94625
3.04846	0.9475
3.1103	0.94875
3.12676	0.95
3.19019	0.95125
3.20419	0.9525
3.26603	0.95375
3.36215	0.955
3.37615	0.95625
3.38366	0.9575
3.4009	0.95875
3.45438	0.96
3.46347	0.96125
3.50987	0.9625
3.69143	0.96375
3.70038	0.965
3.73798	0.96625
3.7501	0.9675
4.00513	0.96875
4.01869	0.97
4.04944	0.97125
4.05254	0.9725
4.08234	0.97375
4.09858	0.975
4.10038	0.97625
4.12196	0.9775
4.15934	0.97875
4.19593	0.98
4.21101	0.98125
4.24637	0.9825
4.27754	0.98375
4.38528	0.985
4.50832	0.98625
4.53437	0.9875
4.59189	0.98875
4.59946	0.99
4.70908	0.99125
4.82786	0.9925
5.01454	0.99375
5.47011	0.995
5.70471	0.99625
5.70976	0.9975
6.042	0.99875
6.62826	1
