# x	Norm
0.266	7.88507e-06
0.267	8.09784e-06
0.268	8.31607e-06
0.269	8.53991e-06
0.27	8.76947e-06
0.271	9.00491e-06
0.272	9.24637e-06
0.273	9.49398e-06
0.274	9.7479e-06
0.275	1.00083e-05
0.276	1.02753e-05
0.277	1.05491e-05
0.278	1.08298e-05
0.279	1.11176e-05
0.28	1.14126e-05
0.281	1.17152e-05
0.282	1.20253e-05
0.283	1.23432e-05
0.284	1.26692e-05
0.285	1.30033e-05
0.286	1.33457e-05
0.287	1.36968e-05
0.288	1.40566e-05
0.289	1.44254e-05
0.29	1.48034e-05
0.291	1.51907e-05
0.292	1.55877e-05
0.293	1.59945e-05
0.294	1.64115e-05
0.295	1.68387e-05
0.296	1.72764e-05
0.297	1.7725e-05
0.298	1.81846e-05
0.299	1.86555e-05
0.3	1.9138e-05
0.301	1.96323e-05
0.302	2.01387e-05
0.303	2.06575e-05
0.304	2.1189e-05
0.305	2.17334e-05
0.306	2.2291e-05
0.307	2.28622e-05
0.308	2.34473e-05
0.309	2.40465e-05
0.31	2.46603e-05
0.311	2.52889e-05
0.312	2.59326e-05
0.313	2.65919e-05
0.314	2.7267e-05
0.315	2.79583e-05
0.316	2.86662e-05
0.317	2.93911e-05
0.318	3.01333e-05
0.319	3.08932e-05
0.32	3.16712e-05
0.321	3.24678e-05
0.322	3.32833e-05
0.323	3.41182e-05
0.324	3.49728e-05
0.325	3.58477e-05
0.326	3.67432e-05
0.327	3.76599e-05
0.328	3.85982e-05
0.329	3.95586e-05
0.33	4.05415e-05
0.331	4.15474e-05
0.332	4.2577e-05
0.333	4.36306e-05
0.334	4.47087e-05
0.335	4.58121e-05
0.336	4.69411e-05
0.337	4.80963e-05
0.338	4.92784e-05
0.339	5.04879e-05
0.34	5.17253e-05
0.341	5.29913e-05
0.342	5.42865e-05
0.343	5.56116e-05
0.344	5.69671e-05
0.345	5.83537e-05
0.346	5.97721e-05
0.347	6.1223e-05
0.348	6.27071e-05
0.349	6.4225e-05
0.35	6.57774e-05
0.351	6.73652e-05
0.352	6.89891e-05
0.353	7.06498e-05
0.354	7.2348e-05
0.355	7.40847e-05
0.356	7.58606e-05
0.357	7.76764e-05
0.358	7.95332e-05
0.359	8.14316e-05
0.36	8.33726e-05
0.361	8.53571e-05
0.362	8.73859e-05
0.363	8.94601e-05
0.364	9.15804e-05
0.365	9.3748e-05
0.366	9.59636e-05
0.367	9.82285e-05
0.368	0.000100543
0.369	0.00010291
0.37	0.000105328
0.371	0.0001078
0.372	0.000110326
0.373	0.000112907
0.374	0.000115546
0.375	0.000118242
0.376	0.000120996
0.377	0.000123811
0.378	0.000126688
0.379	0.000129627
0.38	0.00013263
0.381	0.000135698
0.382	0.000138832
0.383	0.000142034
0.384	0.000145305
0.385	0.000148647
0.386	0.00015206
0.387	0.000155547
