# x	Phi
-39.4	0.0301333
-39.2	0.0302115
-39	0.03029
-38.8	0.0303687
-38.6	0.0304476
-38.4	0.0305267
-38.2	0.030606
-38	0.0306855
-37.8	0.0307651
-37.6	0.030845
-37.4	0.0309251
-37.2	0.0310054
-37	0.0310859
-36.8	0.0311666
-36.6	0.0312475
-36.4	0.0313286
-36.2	0.0314099
-36	0.0314914
-35.8	0.0315731
-35.6	0.031655
-35.4	0.0317371
-35.2	0.0318194
-35	0.0319019
-34.8	0.0319847
-34.6	0.0320676
-34.4	0.0321508
-34.2	0.0322341
-34	0.0323177
-33.8	0.0324015
-33.6	0.0324855
-33.4	0.0325697
-33.2	0.0326541
-33	0.0327387
-32.8	0.0328235
-32.6	0.0329086
-32.4	0.0329938
-32.2	0.0330793
-32	0.033165
-31.8	0.0332509
-31.6	0.033337
-31.4	0.0334233
-31.2	0.0335099
-31	0.0335967
-30.8	0.0336836
-30.6	0.0337708
-30.4	0.0338582
-30.2	0.0339459
-30	0.0340337
-29.8	0.0341218
-29.6	0.0342101
-29.4	0.0342986
-29.2	0.0343873
-29	0.0344763
-28.8	0.0345655
-28.6	0.0346549
-28.4	0.0347445
-28.2	0.0348343
-28	0.0349244
-27.8	0.0350147
-27.6	0.0351052
-27.4	0.0351959
-27.2	0.0352869
-27	0.0353781
-26.8	0.0354695
-26.6	0.0355612
-26.4	0.0356531
-26.2	0.0357452
-26	0.0358375
-25.8	0.0359301
-25.6	0.0360229
-25.4	0.0361159
-25.2	0.0362091
-25	0.0363026
-24.8	0.0363964
-24.6	0.0364903
-24.4	0.0365845
-24.2	0.0366789
-24	0.0367736
-23.8	0.0368685
-23.6	0.0369636
-23.4	0.0370589
-23.2	0.0371545
-23	0.0372504
-22.8	0.0373465
-22.6	0.0374428
-22.4	0.0375393
-22.2	0.0376361
-22	0.0377331
-21.8	0.0378304
-21.6	0.0379279
-21.4	0.0380257
-21.2	0.0381237
-21	0.0382219
-20.8	0.0383204
-20.6	0.0384191
-20.4	0.0385181
-20.2	0.0386173
-20	0.0387167
-19.8	0.0388164
-19.6	0.0389164
-19.4	0.0390166
-19.2	0.039117
-19	0.0392177
-18.8	0.0393186
-18.6	0.0394198
-18.4	0.0395213
-18.2	0.039623
-18	0.0397249
-17.8	0.0398271
-17.6	0.0399295
-17.4	0.0400322
-17.2	0.0401352
-17	0.0402384
-16.8	0.0403418
-16.6	0.0404455
-16.4	0.0405495
-16.2	0.0406537
-16	0.0407582
-15.8	0.0408629
-15.6	0.0409679
-15.4	0.0410732
-15.2	0.0411787
-15	0.0412845
-14.8	0.0413905
-14.6	0.0414968
-14.4	0.0416033
-14.2	0.0417102
-14	0.0418172
-13.8	0.0419246
-13.6	0.0420322
-13.4	0.04214
-13.2	0.0422482
-13	0.0423566
-12.8	0.0424652
-12.6	0.0425742
-12.4	0.0426834
-12.2	0.0427928
-12	0.0429025
-11.8	0.0430125
-11.6	0.0431228
-11.4	0.0432333
-11.2	0.0433442
-11	0.0434552
-10.8	0.0435666
-10.6	0.0436782
-10.4	0.0437901
-10.2	0.0439023
-10	0.0440147
-9.8	0.0441274
-9.6	0.0442404
-9.4	0.0443537
-9.2	0.0444673
-9	0.0445811
-8.8	0.0446952
-8.6	0.0448096
-8.4	0.0449242
-8.2	0.0450392
-8	0.0451544
-7.8	0.0452699
-7.6	0.0453857
-7.4	0.0455017
-7.2	0.0456181
-7	0.0457347
-6.8	0.0458516
-6.6	0.0459688
-6.4	0.0460863
-6.2	0.0462041
-6	0.0463221
-5.8	0.0464405
-5.6	0.0465591
-5.4	0.046678
-5.2	0.0467972
-5	0.0469167
-4.8	0.0470365
-4.6	0.0471566
-4.4	0.0472769
-4.2	0.0473976
-4	0.0475185
-3.8	0.0476398
-3.6	0.0477613
-3.4	0.0478832
-3.2	0.0480053
-3	0.0481277
-2.8	0.0482504
-2.6	0.0483734
-2.4	0.0484968
-2.2	0.0486204
-2	0.0487443
-1.8	0.0488685
-1.6	0.048993
-1.4	0.0491178
-1.2	0.0492429
-1	0.0493684
-0.8	0.0494941
-0.6	0.0496201
-0.4	0.0497464
-0.2	0.0498731
8.83238e-13	0.05
0.2	0.0501272
0.4	0.0502548
0.6	0.0503827
0.8	0.0505108
1	0.0506393
1.2	0.0507681
1.4	0.0508972
1.6	0.0510266
1.8	0.0511563
2	0.0512863
2.2	0.0514167
2.4	0.0515473
2.6	0.0516783
2.8	0.0518096
3	0.0519412
3.2	0.0520731
3.4	0.0522053
3.6	0.0523378
3.8	0.0524707
4	0.0526039
4.2	0.0527374
4.4	0.0528712
4.6	0.0530054
4.8	0.0531398
5	0.0532746
5.2	0.0534097
5.4	0.0535451
5.6	0.0536809
5.8	0.053817
6	0.0539534
6.2	0.0540901
6.4	0.0542272
6.6	0.0543646
6.8	0.0545023
7	0.0546403
7.2	0.0547787
7.4	0.0549174
7.6	0.0550564
7.8	0.0551958
8	0.0553355
8.2	0.0554755
8.4	0.0556159
8.6	0.0557566
8.8	0.0558976
9	0.056039
9.2	0.0561807
9.4	0.0563227
9.6	0.0564651
9.8	0.0566078
10	0.0567509
10.2	0.0568943
10.4	0.057038
