# Longevidade	Quantidade
0	0.00125
0.469361	0.0025
0.478655	0.00375
0.501891	0.005
0.506538	0.00625
0.520479	0.0075
0.525126	0.00875
0.529774	0.010625
0.534421	0.0125
0.539068	0.014375
0.543715	0.016875
0.548362	0.02
0.553009	0.0225
0.562304	0.024375
0.566951	0.02625
0.571598	0.02875
0.576245	0.03125
0.580892	0.03375
0.585539	0.036875
0.590186	0.039375
0.594834	0.041875
0.604128	0.04375
0.608775	0.045
0.613422	0.046875
0.618069	0.04875
0.622716	0.05125
0.627364	0.056875
0.632011	0.064375
0.636658	0.070625
0.645952	0.075
0.650599	0.079375
0.655246	0.08375
0.659893	0.088125
0.664541	0.09375
0.669188	0.099375
0.673835	0.103125
0.678482	0.10875
0.683129	0.115625
0.687776	0.12125
0.692423	0.12625
0.697071	0.130625
0.701718	0.135625
0.706365	0.143125
0.711012	0.15
0.715659	0.154375
0.720306	0.16125
0.724953	0.1675
0.729601	0.175625
0.734248	0.183125
0.738895	0.18875
0.743542	0.195
0.748189	0.200625
0.752836	0.2075
0.757483	0.2125
0.76213	0.216875
0.766778	0.221875
0.771425	0.229375
0.776072	0.23875
0.780719	0.246875
0.785366	0.254375
0.790013	0.2625
0.79466	0.27125
0.799308	0.27875
0.803955	0.288125
0.808602	0.299375
0.813249	0.30875
0.817896	0.316875
0.822543	0.325
0.82719	0.335625
0.831838	0.345
0.836485	0.351875
0.841132	0.359375
0.845779	0.36625
0.850426	0.375
0.855073	0.385625
0.85972	0.39375
0.864367	0.4025
0.869015	0.4125
0.873662	0.42125
0.878309	0.428125
0.882956	0.43375
0.887603	0.44
0.89225	0.445
0.896897	0.45125
0.901545	0.461875
0.906192	0.4725
0.910839	0.478125
0.915486	0.4825
0.920133	0.486875
0.92478	0.493125
0.929427	0.50125
0.934075	0.50625
0.938722	0.510625
0.943369	0.51625
0.948016	0.521875
0.952663	0.53125
0.95731	0.53875
0.961957	0.54
0.966605	0.54375
0.971252	0.550625
0.975899	0.555
0.980546	0.558125
0.985193	0.563125
0.994487	0.570625
0.999134	0.58
1.00378	0.5875
1.00843	0.593125
1.01308	0.599375
1.01772	0.605625
1.02237	0.609375
1.02702	0.61375
1.03166	0.62
1.03631	0.625625
1.04096	0.631875
1.04561	0.6375
1.05025	0.641875
1.0549	0.646875
1.05955	0.65125
1.06419	0.655625
1.06884	0.66125
1.07349	0.666875
1.07814	0.670625
1.08278	0.674375
1.08743	0.68125
1.09208	0.6875
1.09672	0.69125
1.10137	0.695
1.10602	0.699375
1.11067	0.704375
1.11531	0.708125
1.11996	0.71125
1.12461	0.715
1.12925	0.7175
1.1339	0.720625
1.13855	0.726875
1.1432	0.73375
1.14784	0.73875
1.15249	0.743125
1.15714	0.748125
1.16178	0.751875
1.16643	0.75625
1.17108	0.76375
1.17573	0.76875
1.18037	0.77125
1.18502	0.775
1.18967	0.780625
1.19431	0.785625
1.19896	0.78875
1.20361	0.791875
1.20826	0.79375
1.2129	0.795
1.2222	0.796875
1.23149	0.799375
1.23614	0.80125
1.24079	0.803125
1.24543	0.80625
1.25008	0.811875
1.25473	0.819375
1.25937	0.824375
1.26402	0.826875
1.26867	0.830625
1.27332	0.834375
1.27796	0.836875
1.28261	0.83875
1.28726	0.840625
1.2919	0.8425
1.29655	0.84375
1.3012	0.845625
1.30585	0.850625
1.31049	0.85625
1.31514	0.859375
1.32443	0.8625
1.32908	0.865625
1.33373	0.8675
1.33838	0.871875
1.34767	0.87625
1.35232	0.878125
1.35696	0.88125
1.36161	0.88375
1.37555	0.885
1.3802	0.8875
1.38485	0.89
1.38949	0.89125
1.39414	0.8925
1.40344	0.89375
1.41273	0.895625
1.41738	0.898125
1.42667	0.9
1.43132	0.9025
1.44061	0.906875
1.44526	0.910625
1.44991	0.913125
1.45455	0.915
1.4592	0.91625
1.46385	0.9175
1.47314	0.92
1.48708	0.9225
1.49173	0.92625
1.50103	0.93
1.51032	0.93125
1.51497	0.9325
1.51961	0.93375
1.52426	0.935
1.52891	0.93625
1.53356	0.938125
1.5382	0.94125
1.56144	0.945
1.56609	0.948125
1.57073	0.95
1.58932	0.95125
1.59397	0.9525
1.59862	0.955
1.6172	0.958125
1.62185	0.96
1.6265	0.96125
1.64973	0.9625
1.65903	0.96375
1.66832	0.965
1.67297	0.96625
1.69621	0.9675
1.70085	0.96875
1.71479	0.97
1.71944	0.97125
1.74268	0.9725
1.75197	0.97375
1.76126	0.975
1.78915	0.97625
1.83562	0.9775
1.84956	0.97875
1.85421	0.98
1.85885	0.98125
1.87744	0.9825
1.89603	0.98375
1.92391	0.985
1.96109	0.98625
1.97968	0.9875
1.98897	0.98875
2.00756	0.99
2.02615	0.99125
2.03545	0.9925
2.14233	0.99375
2.19345	0.995
2.1981	0.99625
2.21204	0.9975
2.22133	0.99875
2.2771	1
