# Longevidade	Quantidade
0	0.00125
0.588792	0.00375
0.598138	0.0075
0.607484	0.01
0.61683	0.01125
0.626176	0.0125
0.654213	0.015625
0.663559	0.02
0.672905	0.025
0.682251	0.029375
0.691597	0.033125
0.700943	0.0375
0.710289	0.041875
0.719635	0.046875
0.72898	0.055
0.738326	0.063125
0.747672	0.07125
0.757018	0.0825
0.766364	0.098125
0.77571	0.116875
0.785056	0.129375
0.794402	0.138125
0.803748	0.15
0.813094	0.16375
0.82244	0.183125
0.831785	0.2025
0.841131	0.21625
0.850477	0.233125
0.859823	0.255625
0.869169	0.280625
0.878515	0.305625
0.887861	0.325
0.897207	0.3475
0.906553	0.375625
0.915899	0.39625
0.925244	0.414375
0.93459	0.433125
0.943936	0.450625
0.953282	0.4675
0.962628	0.485625
0.971974	0.50625
0.98132	0.523125
0.990666	0.538125
1.00001	0.553125
1.00936	0.568125
1.0187	0.5825
1.02805	0.598125
1.0374	0.618125
1.04674	0.63875
1.05609	0.656875
1.06543	0.6725
1.07478	0.69
1.08412	0.703125
1.09347	0.713125
1.10282	0.725
1.11216	0.7375
1.12151	0.749375
1.13085	0.758125
1.1402	0.76875
1.14955	0.781875
1.15889	0.79375
1.16824	0.809375
1.17758	0.82375
1.18693	0.835
1.19628	0.84875
1.20562	0.859375
1.21497	0.86625
1.22431	0.8725
1.23366	0.8775
1.24301	0.883125
1.25235	0.8875
1.2617	0.89125
1.27104	0.8975
1.28039	0.903125
1.28973	0.910625
1.29908	0.9175
1.30843	0.92
1.31777	0.92375
1.32712	0.93
1.33646	0.9375
1.34581	0.945
1.35516	0.9525
1.3645	0.959375
1.37385	0.9625
1.40189	0.964375
1.41123	0.96625
1.42058	0.968125
1.42992	0.97
1.43927	0.973125
1.45796	0.976875
1.46731	0.979375
1.486	0.98125
1.51404	0.983125
1.52338	0.985
1.53273	0.98625
1.55142	0.9875
1.57011	0.98875
1.57946	0.990625
1.62619	0.9925
1.64488	0.99375
1.66357	0.995
1.67292	0.99625
1.71965	0.9975
1.85983	0.99875
2.11217	1
