# Longevidade	Quantidade
0	0.00125
0.0304841	0.0025
0.0362387	0.00375
0.0376385	0.005
0.0382606	0.00625
0.0398159	0.0075
0.0421489	0.00875
0.0423044	0.01
0.0444818	0.01125
0.0449484	0.0125
0.0458816	0.01375
0.0472814	0.015
0.0521029	0.01625
0.0522584	0.0175
0.0567688	0.01875
0.0578575	0.02
0.0587907	0.02125
0.0612792	0.0225
0.0617458	0.02375
0.0620568	0.025
0.0625234	0.02625
0.0628345	0.0275
0.0631456	0.02875
0.0637677	0.030625
0.0645453	0.0325
0.0648564	0.03375
0.0654785	0.035
0.067967	0.03625
0.0690557	0.0375
0.0693668	0.03875
0.072944	0.04
0.0743438	0.04125
0.0748104	0.0425
0.0751214	0.04375
0.075277	0.045
0.0758991	0.04625
0.0765212	0.0475
0.0768323	0.04875
0.0771433	0.05
0.0776099	0.05125
0.0786986	0.0525
0.0808761	0.05375
0.0818093	0.055
0.0822759	0.05625
0.0880305	0.0575
0.0903635	0.05875
0.090519	0.06
0.0912966	0.06125
0.0914522	0.0625
0.0917632	0.06375
0.0933185	0.065
0.0959626	0.06625
0.0968958	0.0675
0.0993843	0.06875
0.0996953	0.07
0.0998508	0.07125
0.100784	0.0725
0.101717	0.07375
0.102495	0.075
0.103117	0.07625
0.106383	0.0775
0.110582	0.07875
0.11276	0.08
0.113538	0.08125
0.115404	0.0825
0.115715	0.08375
0.117426	0.085
0.117892	0.08625
0.11867	0.0875
0.119603	0.08875
0.119759	0.09
0.120225	0.091875
0.12147	0.09375
0.123803	0.095
0.125825	0.09625
0.126913	0.0975
0.128157	0.099375
0.129713	0.10125
0.130179	0.1025
0.132357	0.10375
0.132668	0.105
0.132823	0.10625
0.132979	0.1075
0.137489	0.10875
0.137645	0.110625
0.1378	0.1125
0.138267	0.11375
0.138734	0.115
0.142155	0.116875
0.147132	0.11875
0.148843	0.12
0.149621	0.12125
0.153198	0.1225
0.153353	0.12375
0.153976	0.125
0.155686	0.126875
0.155842	0.12875
0.160041	0.13
0.160352	0.13125
0.161597	0.1325
0.161752	0.13375
0.161908	0.135
0.163463	0.13625
0.164085	0.1375
0.164396	0.13875
0.164707	0.14
0.166263	0.14125
0.168907	0.1425
0.169529	0.14375
0.169684	0.145
0.171706	0.14625
0.173417	0.1475
0.173728	0.14875
0.175905	0.15
0.176061	0.15125
0.180105	0.1525
0.181038	0.15375
0.18166	0.155
0.182749	0.15625
0.184771	0.1575
0.185548	0.159375
0.185704	0.16125
0.186015	0.1625
0.187259	0.16375
0.188815	0.165
0.189748	0.166875
0.190681	0.16875
0.191925	0.17
0.192547	0.17125
0.193325	0.1725
0.19488	0.17375
0.196124	0.175
0.196747	0.17625
0.19908	0.1775
0.200013	0.17875
0.201879	0.18
0.203434	0.18125
0.203901	0.1825
0.20499	0.18375
0.205456	0.185
0.210122	0.18625
0.210589	0.1875
0.211211	0.18875
0.211678	0.190625
0.211833	0.1925
0.213233	0.19375
0.217588	0.195
0.221009	0.19625
0.221943	0.1975
0.222409	0.19875
0.226609	0.2
0.226764	0.20125
0.229253	0.2025
0.229875	0.20375
0.23143	0.205
0.231586	0.20625
0.231741	0.2075
0.232674	0.20875
0.235629	0.21
0.236251	0.21125
0.237651	0.2125
0.238429	0.21375
