# Longevidade	Quantidade
0.250785	0.218667
0.25093	0.219333
0.251582	0.22
0.251727	0.220667
0.252162	0.221333
0.252451	0.222
0.253466	0.222667
0.253538	0.223333
0.253755	0.224333
0.254117	0.225333
0.254335	0.226
0.254914	0.226667
0.255349	0.227333
0.256363	0.228
0.25687	0.228667
0.257087	0.229333
0.257595	0.23
0.258754	0.230667
0.259261	0.231667
0.259406	0.232667
0.25984	0.233333
0.260782	0.234
0.262448	0.234667
0.263462	0.235333
0.265708	0.236
0.267664	0.236667
0.267953	0.237333
0.269692	0.238
0.27172	0.239
0.272517	0.24
0.274111	0.240667
0.276791	0.241333
0.277008	0.242
0.27824	0.242667
0.278385	0.243333
0.278457	0.244
0.279689	0.244667
0.281282	0.245667
0.2815	0.246667
0.282369	0.247333
0.282948	0.248
0.283383	0.248667
0.284759	0.249333
0.285629	0.25
0.286788	0.250667
0.288019	0.251333
0.289613	0.252
0.290265	0.252667
0.290554	0.253333
0.294828	0.254
0.296784	0.254667
0.297002	0.255333
0.297146	0.256
0.297943	0.256667
0.298016	0.257333
0.298957	0.258
0.301203	0.258667
0.304101	0.259333
0.307216	0.26
0.30736	0.260667
0.307433	0.261333
0.307867	0.262
0.308519	0.262667
0.309244	0.263333
0.309823	0.264
0.309896	0.264667
0.310765	0.265333
0.311055	0.266
0.313518	0.266667
0.314025	0.267333
0.315763	0.268
0.318154	0.268667
0.31924	0.269333
0.319385	0.27
0.320689	0.270667
0.320762	0.271333
0.322355	0.272
0.325543	0.272667
0.326122	0.273333
0.326774	0.274333
0.326847	0.275333
0.327426	0.276
0.328295	0.276667
0.330106	0.277333
0.330324	0.278
0.332352	0.278667
0.333728	0.279333
0.334018	0.28
0.33467	0.280667
0.335539	0.281333
0.336119	0.282
0.336554	0.282667
0.337133	0.283333
0.337857	0.284
0.339596	0.284667
0.339668	0.285333
0.339813	0.286
0.340031	0.286667
0.34032	0.287333
0.34061	0.288
0.340972	0.288667
0.341407	0.289333
0.341769	0.29
0.343145	0.290667
0.343725	0.291333
0.344812	0.292
0.345029	0.292667
0.345753	0.293333
0.346695	0.294
0.347564	0.294667
0.348723	0.295333
0.349013	0.296
0.349086	0.296667
0.350245	0.297333
0.350607	0.298
0.352635	0.298667
0.354518	0.299333
0.355243	0.3
0.356329	0.300667
0.357778	0.301333
0.358648	0.302333
0.359807	0.303333
0.360314	0.304
0.362414	0.304667
0.363356	0.305333
0.363429	0.306
0.364008	0.306667
0.367485	0.307333
