# Longevidade	Quantidade
0	0.00125
0.611819	0.0025
0.704519	0.005625
0.723059	0.013125
0.741599	0.026875
0.760139	0.04375
0.778679	0.073125
0.797219	0.10875
0.815759	0.138125
0.834299	0.178125
0.852839	0.225
0.871379	0.26625
0.889919	0.3125
0.908459	0.366875
0.926999	0.414375
0.945539	0.451875
0.964079	0.4925
0.982619	0.53375
1.00116	0.57625
1.0197	0.614375
1.03824	0.645625
1.05678	0.676875
1.07532	0.706875
1.09386	0.73
1.1124	0.751875
1.13094	0.78
1.14948	0.806875
1.16802	0.8325
1.18656	0.851875
1.2051	0.86875
1.22364	0.888125
1.24218	0.90375
1.26072	0.913125
1.27926	0.92375
1.2978	0.936875
1.31634	0.94625
1.33488	0.95125
1.35342	0.955
1.37196	0.959375
1.3905	0.96625
1.40904	0.973125
1.42758	0.97625
1.44612	0.979375
1.46466	0.983125
1.50174	0.985625
1.52028	0.98875
1.53882	0.991875
1.5759	0.99375
1.63152	0.995
1.72422	0.99625
1.77984	0.9975
1.92816	0.99875
2.0394	1
